Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
0,0,1,0,1,0,1,1,2,2,10,1,45,0
5,0,0,0,2,0,0,0,0,0,0,3,15,0
4,2,0,0,2,0,1,1,9,10,0,6,30,0
1,7,1,0,2,0,1,1,7,7,0,6,35,0
0,12,1,2,1,0,0,0,1,1,14,4,30,0
5,0,0,0,1,0,1,0,2,2,0,1,35,0
0,6,0,0,2,0,0,0,3,3,15,1,40,0
0,0,1,0,1,0,0,0,2,11,4,3,45,0
4,0,1,0,2,0,1,0,2,2,0,3,35,0
3,2,1,2,2,0,1,0,3,3,0,3,25,0
0,7,0,0,1,0,1,0,7,7,0,12,25,0
2,3,0,2,1,0,1,1,3,3,0,1,35,0
3,3,0,2,3,0,0,0,1,1,1,1,50,0
0,4,0,0,1,0,1,0,2,2,4,5,45,0
4,2,0,0,2,0,1,0,3,3,4,12,30,0
4,2,0,0,1,0,1,0,12,12,26,5,45,0
0,0,0,0,1,0,0,0,0,0,2,0,35,0
0,4,1,2,1,0,1,1,3,3,0,5,15,0
3,0,1,2,1,0,1,0,2,2,0,3,40,0
4,0,0,0,2,0,0,0,0,0,0,3,30,0
0,5,0,2,2,0,1,1,1,2,0,5,45,0
5,0,0,0,2,0,0,0,0,0,0,3,50,0
4,3,0,0,2,0,0,0,2,2,0,1,30,0
1,1,0,4,2,0,1,0,2,13,8,6,30,0
0,3,0,2,0,0,0,0,2,2,0,1,30,0
4,0,0,0,1,0,0,0,0,0,0,3,35,0
3,2,0,2,1,0,1,1,3,3,0,5,35,0
5,0,0,0,2,0,1,1,2,2,0,1,35,0
5,3,0,0,1,0,0,0,3,3,4,1,40,0
1,0,0,2,1,1,1,1,2,2,0,3,35,0
1,0,0,0,2,0,0,0,0,0,0,3,45,0
5,3,0,0,1,0,0,0,1,1,0,1,35,0
5,0,0,0,1,0,0,0,2,0,0,3,35,0
4,0,0,0,1,0,1,1,2,2,15,4,45,0
5,3,1,0,0,0,0,0,2,2,5,1,35,0
0,0,1,5,1,0,0,0,0,0,0,3,40,0
5,6,0,0,2,0,0,0,1,1,0,1,50,0
1,3,1,0,0,0,1,0,2,2,0,4,35,0
5,0,0,0,2,0,0,0,0,0,4,0,0,0
0,12,0,0,2,0,1,0,2,2,0,2,40,0
0,4,0,2,1,0,0,0,11,1,24,1,40,0
0,4,0,0,1,0,0,0,6,6,0,1,30,0
5,4,0,0,2,0,0,0,2,2,0,1,35,0
5,1,0,0,2,0,1,0,1,1,13,1,45,0
3,0,1,2,2,0,0,0,0,0,0,3,40,0
5,0,0,0,2,0,0,0,0,0,0,0,30,0
0,3,0,0,0,0,0,0,3,3,4,1,25,0
0,0,0,0,2,0,1,1,2,2,0,1,40,0
0,0,0,0,2,0,0,0,0,0,0,5,25,0
4,3,0,0,0,0,1,1,5,5,0,1,30,0
4,0,0,0,1,0,0,0,0,0,0,3,40,0
4,12,0,0,2,0,1,1,2,2,0,16,15,0
3,0,0,2,2,0,1,0,0,0,0,2,45,0
5,3,0,0,2,0,1,1,2,2,0,1,35,0
0,2,0,0,1,0,1,1,10,11,3,5,40,0
0,0,1,0,1,0,1,0,2,2,4,1,35,0
5,2,0,0,2,0,0,0,8,8,0,1,35,0
4,0,0,0,2,0,0,0,0,0,0,3,55,0
5,0,0,0,4,0,1,1,3,3,1,4,25,0
4,0,0,0,1,0,1,1,2,2,0,1,30,0
5,3,1,0,0,0,0,0,1,1,0,1,25,0
4,3,0,0,0,0,0,0,3,3,20,2,30,0
5,0,0,0,1,0,0,0,0,0,0,0,45,0
4,3,0,0,0,0,1,0,4,4,0,1,25,0
1,0,0,0,2,0,0,1,6,6,0,1,50,0
5,0,0,0,1,0,1,1,2,2,5,1,35,0
5,0,0,0,2,0,1,0,2,2,0,1,30,0
3,0,1,4,1,1,1,0,2,2,0,3,45,0
0,0,1,0,2,0,1,0,2,2,0,3,40,0
5,9,0,0,0,0,1,1,10,11,15,1,25,0
5,0,0,0,0,1,1,1,0,0,0,13,30,0
5,4,0,0,2,0,0,0,2,2,0,1,45,0
3,0,1,2,2,0,1,1,2,2,0,1,35,0
1,3,0,2,3,0,0,0,1,1,0,1,40,0
5,3,1,0,1,0,0,0,9,5,5,1,40,0
5,6,0,0,2,0,0,0,2,2,0,1,45,0
5,3,0,0,1,0,0,0,2,2,0,1,35,0
4,0,0,0,2,0,1,1,2,2,0,1,30,0
4,3,1,0,2,0,1,1,6,6,2,5,35,0
0,3,0,0,2,0,0,0,3,3,4,1,25,0
0,0,0,0,2,0,1,0,2,2,0,1,40,0
2,2,5,2,2,0,0,0,6,6,4,1,55,0
3,3,0,2,0,0,0,0,2,2,6,1,25,0
4,10,0,0,1,0,1,1,1,1,0,4,35,0
5,4,0,0,2,0,1,1,8,8,0,1,30,0
5,2,0,0,1,0,0,0,6,6,0,0,40,0
1,0,0,0,1,0,0,0,0,0,0,0,40,0
0,11,0,0,2,0,1,1,3,3,8,1,30,0
5,9,0,0,2,0,1,0,3,1,0,2,35,0
0,5,0,5,0,0,1,1,2,2,0,5,25,0
0,0,0,0,1,0,0,0,1,1,21,0,35,0
1,3,4,4,0,0,1,0,1,1,0,5,35,0
1,0,1,0,1,0,0,0,0,0,3,0,40,0
0,3,0,0,2,0,0,0,3,3,0,1,30,0
2,2,1,4,2,1,1,0,3,3,0,2,30,0
3,0,0,4,2,0,0,0,0,0,0,3,40,0
4,3,1,0,0,0,0,0,2,2,0,1,30,0
2,3,0,2,1,0,0,0,2,3,0,1,40,0
4,2,0,0,1,0,1,0,8,8,0,1,35,0
0,0,1,0,2,0,0,0,0,0,4,3,40,0
3,1,0,2,0,0,1,1,2,2,0,12,35,0
5,0,0,0,5,0,0,0,0,0,0,3,35,0
4,0,0,0,2,0,0,0,0,0,4,0,35,0
4,3,0,0,1,0,0,0,0,0,0,3,40,0
4,3,0,0,0,0,1,0,2,2,0,2,15,0
0,0,0,2,2,0,0,0,0,0,0,3,40,0
5,8,0,0,1,0,1,1,3,3,11,1,30,0
0,4,0,0,1,0,1,1,2,2,0,5,50,0
5,0,0,0,2,1,1,1,2,3,0,1,25,0
4,3,0,0,1,0,0,0,2,2,0,5,25,0
4,2,0,0,1,0,1,1,5,5,15,12,35,0
2,1,0,2,3,1,1,0,11,9,0,1,40,0
0,0,0,2,1,0,0,0,0,0,0,0,35,0
2,1,0,4,2,0,0,0,2,2,0,1,45,0
0,6,0,0,2,0,1,1,1,1,0,2,30,0
1,0,0,0,2,0,0,1,0,0,15,3,35,0
3,0,0,2,2,0,0,0,0,0,4,3,35,0
5,2,0,0,2,0,0,0,3,3,5,1,35,0
4,0,0,0,1,0,0,0,6,6,5,1,50,0
5,4,0,0,2,0,0,0,1,1,0,1,25,0
3,0,0,2,1,0,0,0,0,0,0,0,35,0
3,3,0,2,0,0,0,0,2,2,0,1,35,0
0,4,0,0,2,0,1,0,0,0,0,5,30,0
0,7,1,0,2,0,1,0,3,3,20,6,45,0
3,2,0,2,2,1,1,1,4,4,0,1,35,0
3,3,0,2,1,0,0,0,1,10,0,1,45,0
4,14,0,0,2,0,0,0,11,9,0,5,25,0
5,3,0,0,2,0,0,0,2,2,0,1,30,0
0,4,0,5,1,0,1,1,3,3,0,5,45,0
4,9,0,0,2,0,1,0,1,1,0,1,25,0
0,5,0,0,0,0,1,1,8,8,4,5,35,0
1,0,1,2,2,0,1,1,2,2,0,3,35,0
5,3,0,0,2,0,0,0,2,2,0,1,50,0
0,6,1,5,2,0,0,0,3,4,0,1,0,0
4,4,0,0,2,0,0,0,1,1,0,1,35,0
0,7,0,0,1,1,0,0,2,2,0,6,45,0
0,2,0,0,1,0,0,0,1,1,0,1,45,0
5,3,0,0,1,0,0,0,1,1,0,1,45,0
0,4,0,2,2,0,1,0,3,4,0,5,30,0
1,0,1,0,1,0,0,0,0,0,0,0,30,0
4,3,0,0,0,0,1,0,2,2,0,4,25,0
4,3,1,0,1,0,0,0,8,8,0,5,40,0
1,5,1,1,0,0,1,1,8,8,0,2,25,0
0,4,0,5,2,0,1,0,2,2,0,1,35,0
1,0,1,0,2,0,1,0,2,2,3,3,30,0
0,12,1,3,2,0,0,0,2,2,0,3,35,0
5,0,0,0,2,0,0,0,0,0,0,0,40,0
4,12,0,0,0,0,1,0,8,8,3,1,35,0
5,10,1,0,0,0,0,0,2,2,0,2,30,0
0,12,0,2,2,1,1,1,1,1,0,1,30,0
5,2,0,0,1,0,1,1,6,6,11,12,30,0
4,4,4,0,2,0,0,0,10,11,0,1,30,0
0,0,0,0,2,0,0,0,0,0,0,0,55,0
3,3,1,4,1,0,0,0,11,8,4,0,30,0
0,0,0,0,2,0,1,0,2,2,0,1,35,0
0,0,4,4,2,0,0,0,2,2,0,3,45,0
1,2,1,0,2,0,1,0,5,5,3,1,35,0
1,1,0,4,2,0,1,0,4,4,15,3,30,0
3,3,0,2,1,0,0,0,1,1,0,1,40,0
4,4,1,0,2,0,0,0,2,2,5,1,25,0
0,0,0,0,2,0,1,1,2,2,4,1,40,0
5,1,0,0,2,0,1,0,2,3,0,1,35,0
0,3,0,4,0,0,1,1,2,2,0,4,25,0
0,0,0,2,2,0,0,0,0,0,0,3,10,0
0,4,0,0,1,0,0,0,9,10,2,1,35,0
0,3,0,5,2,0,0,0,2,2,0,1,30,0
3,4,0,2,1,0,0,0,2,2,0,1,30,0
0,13,1,0,2,0,0,0,11,9,0,0,25,0
4,0,0,0,2,0,1,0,2,2,0,6,55,0
1,0,0,0,2,0,1,0,2,2,0,1,40,0
5,2,1,0,1,0,0,0,1,1,4,1,45,0
0,15,1,0,1,0,0,0,8,8,0,5,35,0
4,4,0,0,1,0,0,0,5,5,8,5,40,0
5,0,0,0,2,0,1,1,2,2,0,1,35,0
3,1,1,2,2,0,1,0,11,9,6,3,25,0
3,0,0,2,1,0,0,0,6,6,4,0,50,0
0,2,0,0,2,0,1,0,12,12,3,1,40,0
5,0,0,0,2,0,0,0,0,0,0,3,35,0
4,0,0,0,2,0,1,0,2,2,4,1,40,0
0,0,0,2,2,0,1,0,2,2,0,1,25,0
4,2,0,0,1,0,0,0,11,9,4,1,35,0
4,1,0,0,2,0,1,0,3,3,0,1,35,0
3,2,1,2,2,0,1,0,8,8,1,1,40,0
0,0,1,0,2,0,0,0,0,0,0,0,45,0
5,0,1,0,2,0,1,0,2,2,0,1,30,0
0,4,0,0,1,0,0,0,2,2,6,1,25,0
4,0,0,0,1,0,1,1,2,2,0,3,40,0
0,0,0,0,1,0,1,0,2,2,0,3,45,0
5,1,0,0,2,0,1,0,13,13,6,2,40,0
4,0,0,0,2,0,0,0,0,0,0,1,35,0
0,3,1,0,2,0,0,0,2,2,0,0,30,0
0,0,1,2,1,0,1,0,2,2,4,7,35,0
5,0,0,0,2,0,0,0,0,0,4,3,40,0
5,0,0,0,1,0,0,0,0,0,18,0,40,0
5,3,0,0,1,0,1,0,2,2,7,3,45,0
0,3,1,5,2,0,1,0,1,1,8,12,30,0
5,3,0,0,1,0,1,1,2,2,0,5,30,0
4,0,0,0,1,0,0,0,0,0,0,0,40,0
3,3,0,2,1,0,0,0,2,2,0,1,25,0
3,3,0,2,1,0,1,1,1,1,0,5,40,0
5,9,0,0,2,0,0,0,2,2,0,10,40,0
4,4,1,0,1,0,0,1,2,2,0,1,35,0
1,0,0,0,2,0,0,0,0,0,15,0,35,0
5,0,0,0,2,0,1,1,2,2,0,6,40,0
0,2,0,0,1,0,0,0,6,6,4,0,30,0
0,6,0,0,2,0,1,0,1,1,15,6,35,0
1,0,0,2,3,0,1,0,2,2,0,4,45,0
5,0,0,0,2,0,0,0,0,0,13,3,50,0
3,0,0,2,1,1,1,0,2,2,0,1,40,0
3,2,1,2,1,0,1,0,3,3,0,12,35,0
2,3,0,2,1,0,1,1,11,9,0,2,35,0
0,0,0,0,2,0,1,0,2,2,0,3,35,0
5,6,0,0,2,0,1,0,1,1,13,1,35,0
5,0,0,0,2,0,1,0,2,2,4,1,40,0
1,3,0,0,0,0,1,1,2,2,0,1,35,0
5,3,0,0,0,0,0,0,1,1,0,1,40,0
4,3,0,0,1,0,1,0,3,3,0,1,30,0
4,3,0,0,1,0,0,0,2,2,0,1,35,0
4,3,1,0,1,0,0,0,2,2,8,6,40,0
3,1,0,2,2,0,0,0,2,2,0,1,45,0
4,0,1,0,1,0,0,0,0,0,0,0,40,0
4,0,0,0,1,0,0,0,0,0,4,0,50,0
0,0,1,0,1,0,1,1,2,2,0,1,35,0
5,0,0,0,1,0,0,0,0,0,0,0,35,0
0,3,0,0,1,0,0,0,8,8,0,1,30,0
5,3,0,0,0,0,1,1,11,9,0,12,45,0
0,3,0,0,1,0,0,0,1,9,0,1,45,0
0,0,0,0,2,0,0,0,0,0,5,3,35,0
4,3,0,0,0,0,0,0,2,2,0,1,30,0
2,2,0,2,3,0,1,1,2,2,0,1,30,0
4,2,0,0,2,0,1,1,0,0,13,1,40,0
0,4,0,0,1,0,0,0,1,1,0,1,35,0
3,1,0,4,2,0,1,0,2,14,0,1,25,0
1,4,0,1,0,0,0,0,2,2,0,1,35,0
5,0,0,0,2,0,0,0,0,0,4,1,30,0
5,4,0,0,1,0,1,1,3,3,0,5,30,0
0,0,0,0,2,0,1,0,2,2,0,1,40,0
3,6,0,2,2,0,0,0,8,8,3,4,40,0
0,0,0,0,1,0,1,0,2,2,0,3,40,0
0,3,0,2,2,0,1,0,4,4,0,5,35,0
3,3,1,2,2,0,1,0,2,2,0,3,50,0
4,3,0,0,1,0,1,1,11,9,0,1,30,0
4,0,1,0,1,0,1,1,2,2,5,1,50,0
5,4,0,0,1,0,0,0,2,2,0,1,35,0
0,0,0,2,1,0,0,0,0,0,0,0,30,0
1,0,0,0,1,0,0,0,0,0,4,0,30,0
0,0,0,4,2,0,0,0,0,0,0,0,25,0
2,0,0,2,1,1,1,0,2,2,0,1,35,0
0,0,0,0,2,0,0,0,0,0,0,3,25,0
3,9,5,4,2,0,0,1,1,1,0,0,50,0
5,2,0,0,2,0,1,1,4,4,15,1,35,0
3,4,0,4,1,0,1,1,3,3,0,5,45,0
3,0,0,2,1,0,1,1,2,2,0,3,45,0
0,0,0,0,2,0,0,0,0,0,0,0,35,0
0,3,0,0,1,0,1,1,3,3,0,5,35,0
3,2,1,2,2,0,1,0,8,8,4,6,50,0
0,0,0,0,1,0,0,0,0,0,4,0,35,0
0,15,1,5,3,0,1,0,3,3,0,5,40,0
5,0,0,0,2,0,0,0,0,0,0,1,30,0
5,0,0,0,2,0,0,0,2,2,0,6,35,0
4,1,0,0,2,0,1,0,2,2,0,5,35,0
3,2,0,2,5,0,0,0,0,0,0,4,35,0
4,3,0,0,1,0,1,0,2,2,4,1,35,0
0,3,0,0,1,0,1,1,2,2,4,4,40,0
4,0,1,0,2,0,1,1,2,2,0,1,40,0
1,0,0,0,2,0,1,0,2,2,0,3,50,0
5,0,1,0,2,0,0,0,2,2,4,3,35,0
0,0,0,0,1,0,0,0,0,0,0,3,30,0
2,0,0,2,1,0,0,0,0,0,0,0,40,0
5,0,0,0,2,0,0,0,0,0,0,3,40,0
4,3,0,0,1,0,1,0,9,10,4,5,40,0
5,0,0,0,2,0,1,1,2,2,0,1,35,0
3,1,0,1,2,0,1,0,2,2,0,1,40,0
4,9,1,0,2,0,0,0,10,11,0,1,40,0
2,1,0,2,2,1,1,0,6,4,0,2,55,0
5,1,5,0,2,0,1,0,0,0,1,1,65,0
4,0,0,0,2,0,0,0,0,0,8,0,50,0
5,3,0,0,0,0,0,0,6,6,0,8,25,1
4,3,1,0,0,0,1,1,3,2,0,5,35,0
5,2,0,0,1,0,1,1,1,1,8,6,30,0
5,7,1,0,2,0,1,1,3,3,7,1,40,0
2,0,1,2,1,0,0,0,0,0,4,0,35,0
4,4,0,0,1,0,0,0,2,2,0,1,30,0
2,1,1,2,2,1,1,0,2,2,5,9,25,0
0,4,0,0,1,0,0,0,4,4,0,4,40,0
0,0,0,0,2,0,0,0,0,0,0,3,35,0
1,0,0,0,1,0,1,0,2,2,4,1,40,0
5,0,0,0,2,0,1,0,2,2,0,1,35,0
4,4,0,0,1,0,0,0,2,2,0,1,30,0
3,4,0,2,1,0,0,0,2,1,0,2,35,0
0,0,0,2,1,0,0,0,7,7,0,3,30,0
4,0,0,0,2,0,0,0,0,0,0,0,35,0
0,4,0,2,2,0,1,1,7,7,0,5,40,0
4,0,0,0,2,0,0,0,0,0,11,3,30,0
4,0,1,0,1,0,0,0,0,0,0,3,40,0
2,4,0,2,1,0,0,0,2,2,0,1,40,0
5,0,1,0,2,0,0,0,0,0,8,3,55,0
5,0,1,0,2,0,1,0,2,2,0,1,40,0
4,2,1,0,2,0,0,0,10,11,13,8,30,1
0,0,0,0,2,0,0,0,0,0,4,3,45,0
5,0,0,0,1,0,1,0,2,2,0,1,30,0
1,2,1,0,1,0,0,0,10,11,4,1,30,0
1,0,0,0,1,0,0,0,0,0,0,3,50,0
0,7,0,2,2,0,0,0,1,1,2,1,40,0
5,0,1,0,2,0,1,0,0,0,0,0,40,0
0,0,0,2,2,0,1,1,2,2,0,2,55,0
1,12,0,0,2,0,1,0,8,8,5,1,35,0
5,0,0,0,2,0,1,1,2,2,0,1,45,0
4,3,0,0,2,0,1,1,2,2,0,5,35,0
4,3,0,0,2,0,1,0,8,8,0,5,25,0
0,9,0,4,2,0,0,0,1,1,4,3,35,0
1,1,1,2,2,0,1,1,1,2,0,1,25,0
5,3,0,0,1,0,0,0,2,2,0,1,40,0
0,0,0,2,2,0,1,0,2,2,0,3,40,0
0,0,0,0,2,0,0,0,0,0,0,0,40,0
5,3,0,0,0,0,1,1,4,4,0,2,25,0
0,3,0,0,2,0,0,0,2,2,6,1,30,0
2,2,0,2,2,0,0,0,6,6,0,14,15,0
4,0,0,0,1,0,0,0,0,0,0,3,25,0
0,4,0,0,2,0,1,0,2,2,4,5,30,0
1,0,1,0,1,0,0,0,0,0,0,0,40,0
5,11,0,0,0,0,0,0,8,8,7,8,30,1
5,0,0,0,1,0,1,1,2,2,0,3,35,0
5,0,0,0,2,0,0,0,0,2,0,3,35,0
4,3,0,0,1,0,0,0,2,2,0,1,40,0
0,10,1,2,0,0,0,0,3,3,0,1,40,0
4,0,0,0,2,0,1,1,2,2,0,1,25,0
5,3,5,0,1,0,0,0,2,2,0,5,25,0
5,0,0,0,2,0,0,0,0,0,5,5,35,0
5,0,0,0,2,0,0,0,0,0,0,3,45,0
4,0,0,0,1,0,0,0,0,0,0,0,45,0
4,4,0,0,1,0,0,0,10,11,4,4,30,0
4,0,0,0,2,0,0,0,0,0,0,3,30,0
0,0,0,0,2,0,0,0,0,0,4,0,45,0
5,2,0,0,1,0,1,0,0,0,12,1,50,0
0,3,0,0,1,0,0,0,3,3,0,2,25,0
4,0,0,0,1,0,0,0,0,0,4,0,40,0
4,6,0,0,2,0,1,0,1,1,0,5,35,0
5,4,0,5,1,0,1,1,2,2,0,5,35,0
0,3,0,2,2,0,1,1,2,2,0,5,45,0
5,0,0,0,1,0,1,0,2,2,0,1,35,0
0,7,1,2,2,0,1,1,3,3,15,1,35,0
4,6,1,0,2,0,0,0,3,3,13,1,40,0
1,0,0,0,2,0,0,0,0,0,0,3,50,0
5,0,1,0,2,0,0,0,0,0,5,3,45,0
2,3,1,2,1,0,1,1,3,3,0,5,45,0
4,7,0,0,2,0,1,0,7,7,0,6,40,0
5,3,0,0,2,0,0,0,1,1,0,1,35,0
0,0,0,0,1,0,0,0,0,0,5,3,35,0
3,0,0,2,2,0,0,0,0,0,0,0,35,0
0,2,0,0,1,0,0,0,4,4,15,0,40,0
5,0,0,0,1,0,1,0,2,2,0,3,35,0
0,3,1,5,0,0,1,0,3,4,0,2,30,0
4,1,0,2,2,0,0,0,2,2,0,1,30,0
3,0,0,2,1,0,0,0,0,0,0,0,40,0
5,4,0,0,1,0,0,0,2,2,8,1,40,0
0,4,0,0,2,0,1,0,2,2,0,5,40,0
5,0,0,0,2,0,1,0,2,2,0,3,35,0
0,3,0,0,0,0,0,0,1,1,3,5,30,0
0,3,0,2,2,0,0,0,3,3,0,1,40,0
1,0,1,0,0,0,0,0,0,0,1,3,25,0
5,3,1,0,3,0,1,0,2,2,11,3,25,0
0,4,0,0,2,0,0,0,3,3,0,0,40,0
4,0,1,0,1,0,1,0,2,2,4,3,50,0
4,0,1,0,1,0,0,0,0,0,0,0,40,0
0,3,0,0,0,0,1,0,2,2,8,5,40,0
4,0,0,0,2,0,0,0,0,0,22,1,35,0
3,1,0,2,1,0,1,1,5,5,9,12,35,0
0,5,0,0,1,0,1,0,7,7,0,5,45,0
0,5,0,0,0,0,0,0,1,1,4,1,35,0
0,0,1,0,2,0,1,0,2,2,0,3,35,0
4,0,0,0,2,0,0,0,0,0,0,0,45,0
3,1,0,5,2,1,1,0,2,2,4,1,35,0
1,1,0,0,2,0,1,0,13,13,12,3,25,0
5,0,0,0,2,0,1,0,2,2,5,1,45,0
0,0,0,0,2,0,0,0,0,0,0,5,35,0
3,3,0,2,1,0,1,0,9,10,0,5,40,0
4,5,0,0,1,0,0,0,1,1,0,12,40,0
3,0,1,2,1,0,0,0,0,0,0,3,35,0
0,2,0,0,2,0,0,0,8,8,0,8,35,1
4,3,0,0,2,0,1,0,1,1,5,5,45,0
0,5,0,0,1,0,0,0,2,2,4,1,45,0
4,2,0,0,1,0,0,0,4,4,4,0,30,0
0,3,0,0,1,0,0,0,10,11,0,2,35,0
0,0,0,0,2,0,0,0,0,0,0,3,40,0
1,2,1,0,2,0,0,0,1,1,0,1,35,0
0,0,0,0,0,0,0,0,0,0,0,0,45,0
4,1,1,0,1,0,1,0,2,2,0,12,20,0
0,0,0,0,2,0,1,0,2,2,0,1,45,0
0,0,0,0,2,0,1,1,2,2,0,15,30,0
5,2,0,0,2,0,0,0,4,4,0,1,25,0
1,4,1,2,2,0,0,0,4,4,0,1,30,0
5,4,0,0,2,0,0,0,2,2,0,1,25,0
4,0,0,0,2,0,1,0,2,2,0,3,35,0
5,1,1,0,2,0,1,1,0,0,15,13,35,0
4,1,0,0,2,0,1,0,3,3,3,4,35,0
5,4,0,0,1,0,0,0,3,3,8,1,30,0
0,14,0,0,0,0,1,0,2,2,0,5,30,0
5,0,0,0,2,0,0,0,0,0,0,0,25,0
0,2,0,0,2,0,1,1,5,5,9,12,30,0
0,0,0,2,2,0,1,0,2,2,0,1,30,0
0,3,0,0,1,0,0,0,10,11,0,1,45,0
4,6,0,0,1,0,0,0,3,3,0,2,35,0
1,4,1,2,1,0,1,1,7,7,0,5,45,0
5,0,0,0,2,0,0,0,0,0,0,0,25,0
5,0,0,0,1,0,0,0,0,0,0,0,35,0
0,0,0,0,1,0,0,0,0,0,4,1,45,0
0,0,1,2,1,0,0,0,0,2,0,0,45,0
0,0,1,0,1,0,0,0,0,0,0,0,30,0
2,9,1,2,1,0,0,0,3,3,0,1,35,0
3,2,1,4,2,0,1,1,3,3,3,1,45,0
0,1,1,2,2,0,1,0,4,4,2,1,30,0
0,0,0,2,2,0,0,0,0,0,0,0,40,0
3,0,0,2,1,0,1,1,2,2,0,3,40,0
0,0,0,3,1,0,0,0,2,2,0,0,40,0
0,3,0,5,0,0,1,0,2,2,0,12,35,0
1,12,0,2,1,0,0,0,2,2,0,1,35,0
0,0,0,0,2,0,0,0,0,0,0,0,40,0
1,0,0,1,2,0,1,0,2,2,1,1,55,0
3,4,0,2,1,0,0,0,2,2,0,1,35,0
4,1,0,0,2,1,1,1,2,2,0,1,45,0
0,0,0,0,2,0,0,0,0,0,0,3,30,0
4,2,0,0,1,0,0,0,7,7,0,0,35,0
0,0,0,3,1,1,1,1,2,2,0,3,45,0
1,13,5,0,0,0,0,0,2,2,0,0,35,0
4,2,1,0,1,0,0,0,0,0,0,0,40,0
0,3,0,0,0,0,1,0,2,2,0,1,25,0
4,3,0,0,1,0,1,0,4,4,0,1,30,0
1,0,0,0,2,0,1,0,0,2,0,3,50,0
4,13,0,0,2,0,1,1,1,1,0,5,30,0
1,0,0,1,1,0,0,0,14,14,15,0,30,0
0,3,0,0,1,0,0,0,5,5,0,1,40,0
5,0,0,0,2,0,1,0,2,2,0,3,40,0
0,0,0,0,1,0,1,0,2,2,5,2,25,0
3,0,1,2,1,0,0,0,0,0,0,3,40,0
4,0,1,0,1,0,1,1,2,2,8,1,40,0
3,0,0,2,2,0,0,0,0,0,0,0,45,0
0,0,0,0,2,0,0,0,0,0,0,3,35,0
0,1,0,0,2,0,1,0,2,2,0,12,25,0
0,0,1,2,1,0,1,0,2,2,0,7,45,0
5,0,0,0,2,0,1,0,2,2,0,1,40,0
4,10,0,0,1,0,0,0,1,1,0,12,25,0
5,12,0,0,2,0,0,0,2,2,8,0,40,0
4,0,1,0,2,0,1,0,2,2,4,1,40,0
3,0,0,2,1,0,0,0,2,2,2,0,40,0
1,0,1,5,2,0,1,1,0,0,0,6,40,0
1,1,1,4,2,0,1,0,2,2,20,1,25,0
0,3,0,0,1,0,1,1,2,2,0,5,35,0
4,0,0,0,1,0,1,0,3,3,0,12,40,0
1,1,1,4,2,0,1,0,3,2,0,1,50,0
0,0,0,2,1,0,0,0,7,7,4,0,45,0
4,0,0,0,2,0,0,0,0,0,0,3,55,0
0,2,0,0,1,0,1,1,3,4,0,3,40,0
0,4,0,0,1,0,1,1,4,4,0,5,50,0
1,2,0,0,2,0,0,0,5,10,0,1,45,0
0,0,0,0,1,0,0,0,0,0,0,0,35,0
3,6,0,2,2,0,1,0,6,0,0,6,40,0
1,4,0,2,2,0,1,0,2,2,4,5,30,0
1,3,0,0,2,0,1,0,6,6,4,5,40,0
4,4,1,0,2,0,0,0,2,2,0,3,35,0
4,3,0,0,1,0,0,0,8,8,0,0,40,0
4,1,0,0,2,0,1,0,2,2,0,1,50,0
5,10,0,0,1,0,1,0,1,1,8,12,35,0
2,1,0,2,2,0,1,0,2,2,1,1,40,0
4,0,1,0,1,0,0,0,0,0,15,0,40,0
0,6,1,1,1,0,0,0,2,2,4,6,45,0
4,4,0,0,2,0,0,0,3,3,11,1,35,0
4,2,0,0,0,0,1,1,1,1,0,12,45,0
5,0,1,1,2,0,1,0,2,2,0,1,30,0
3,0,0,2,1,0,0,0,0,0,0,4,30,0
3,2,4,2,1,0,0,0,2,2,5,0,40,0
5,2,0,0,1,0,1,1,10,11,15,5,35,0
4,2,1,0,2,0,1,1,3,3,0,6,40,0
1,0,0,0,0,0,1,0,2,2,0,1,25,0
2,1,0,2,2,1,1,0,2,2,0,1,30,0
4,4,0,0,0,0,1,0,3,3,0,2,30,0
0,0,0,0,2,0,0,0,0,0,0,1,45,0
2,12,0,2,2,1,1,0,2,2,8,12,25,0
3,7,0,2,2,0,0,0,4,4,0,12,35,0
0,4,0,0,1,0,0,0,2,2,0,1,40,0
3,0,0,2,1,0,0,0,0,0,0,0,25,0
5,6,1,0,0,0,0,0,3,3,0,1,35,0
5,0,0,0,1,0,1,0,2,2,6,3,35,0
4,0,0,0,1,0,1,0,2,2,0,12,40,0
5,0,0,0,1,0,1,1,2,2,0,3,40,0
5,3,1,0,2,0,1,1,1,1,11,10,35,0
4,3,0,0,0,0,1,0,3,3,20,4,30,0
0,4,0,0,2,0,0,0,2,2,0,1,35,0
4,2,0,0,1,0,0,0,10,11,0,1,30,0
3,1,0,2,1,1,1,1,2,2,0,1,45,0
1,3,0,2,2,0,1,1,8,8,4,1,40,0
0,3,0,0,0,0,1,0,2,2,0,1,30,0
0,0,1,0,1,0,0,0,0,0,0,3,30,0
5,0,0,0,2,0,1,1,2,2,11,2,25,0
1,3,0,2,1,0,0,0,2,3,0,2,35,0
